source,target
INFLAMMATORY_RESPONSE,CXCL10
KRAS_SIGNALING_UP,CXCL10
TNFA_SIGNALING_VIA_NFKB,NFKB2
ANGIOGENESIS,CXCL6
INFLAMMATORY_RESPONSE,CXCL6
TNFA_SIGNALING_VIA_NFKB,CXCL6
EPITHELIAL_MESENCHYMAL_TRANSITION,CXCL6
ALLOGRAFT_REJECTION,TNF
APOPTOSIS,TNF
TNFA_SIGNALING_VIA_NFKB,TNF
IL6_JAK_STAT3_SIGNALING,TNF
INTERFERON_GAMMA_RESPONSE,NFKBIA
TNFA_SIGNALING_VIA_NFKB,NFKBIA
INFLAMMATORY_RESPONSE,NFKBIA
UV_RESPONSE_UP,NFKBIA
TNFA_SIGNALING_VIA_NFKB,LITAF
TNFA_SIGNALING_VIA_NFKB,EGR2
UV_RESPONSE_DN,PLPP3
TNFA_SIGNALING_VIA_NFKB,PLPP3
ALLOGRAFT_REJECTION,IL12B
KRAS_SIGNALING_DN,IL12B
TNFA_SIGNALING_VIA_NFKB,IL12B
INFLAMMATORY_RESPONSE,IL12B
INFLAMMATORY_RESPONSE,TNFSF9
P53_PATHWAY,TNFSF9
TNFA_SIGNALING_VIA_NFKB,TNFSF9
ALLOGRAFT_REJECTION,CCL4
TNFA_SIGNALING_VIA_NFKB,CCL4
TNFA_SIGNALING_VIA_NFKB,SPSB1
TNFA_SIGNALING_VIA_NFKB,TNIP1
TNFA_SIGNALING_VIA_NFKB,TNC
EPITHELIAL_MESENCHYMAL_TRANSITION,TNC
MYC_TARGETS_V1,MYC
WNT_BETA_CATENIN_SIGNALING,MYC
IL2_STAT5_SIGNALING,MYC
G2M_CHECKPOINT,MYC
UV_RESPONSE_DN,MYC
E2F_TARGETS,MYC
TNFA_SIGNALING_VIA_NFKB,MYC
MYC_TARGETS_V2,MYC
ESTROGEN_RESPONSE_EARLY,MYC
INFLAMMATORY_RESPONSE,MYC
HYPOXIA,SDC4
TNFA_SIGNALING_VIA_NFKB,SDC4
EPITHELIAL_MESENCHYMAL_TRANSITION,SDC4
TNFA_SIGNALING_VIA_NFKB,NFE2L2
MTORC1_SIGNALING,MAP2K3
HEME_METABOLISM,MAP2K3
PI3K_AKT_MTOR_SIGNALING,MAP2K3
TNFA_SIGNALING_VIA_NFKB,MAP2K3
FATTY_ACID_METABOLISM,G0S2
KRAS_SIGNALING_UP,G0S2
TNFA_SIGNALING_VIA_NFKB,G0S2
MTORC1_SIGNALING,SLC2A3
IL2_STAT5_SIGNALING,SLC2A3
HYPOXIA,SLC2A3
TNFA_SIGNALING_VIA_NFKB,SLC2A3
TNFA_SIGNALING_VIA_NFKB,NR4A3
ALLOGRAFT_REJECTION,CSF1
INTERFERON_ALPHA_RESPONSE,CSF1
IL2_STAT5_SIGNALING,CSF1
TNFA_SIGNALING_VIA_NFKB,CSF1
IL6_JAK_STAT3_SIGNALING,CSF1
INFLAMMATORY_RESPONSE,CSF1
TNFA_SIGNALING_VIA_NFKB,CXCL1
COMPLEMENT,CXCL1
EPITHELIAL_MESENCHYMAL_TRANSITION,CXCL1
IL6_JAK_STAT3_SIGNALING,CXCL1
TNFA_SIGNALING_VIA_NFKB,HES1
NOTCH_SIGNALING,HES1
ESTROGEN_RESPONSE_EARLY,HES1
IL2_STAT5_SIGNALING,TNFRSF9
INFLAMMATORY_RESPONSE,TNFRSF9
TNFA_SIGNALING_VIA_NFKB,TNFRSF9
P53_PATHWAY,KLF4
TNFA_SIGNALING_VIA_NFKB,KLF4
ESTROGEN_RESPONSE_LATE,KLF4
ESTROGEN_RESPONSE_EARLY,KLF4
KRAS_SIGNALING_UP,KLF4
ANDROGEN_RESPONSE,PDLIM5
XENOBIOTIC_METABOLISM,PDLIM5
UV_RESPONSE_DN,PDLIM5
MITOTIC_SPINDLE,PDLIM5
TNFA_SIGNALING_VIA_NFKB,PDLIM5
IL2_STAT5_SIGNALING,KLF6
HYPOXIA,KLF6
TNFA_SIGNALING_VIA_NFKB,KLF6
INFLAMMATORY_RESPONSE,KLF6
TNFA_SIGNALING_VIA_NFKB,BCL2A1
ALLOGRAFT_REJECTION,IL18
TNFA_SIGNALING_VIA_NFKB,IL18
INFLAMMATORY_RESPONSE,IL18
APOPTOSIS,IL18
TNFA_SIGNALING_VIA_NFKB,PHLDA2
TNFA_SIGNALING_VIA_NFKB,GEM
EPITHELIAL_MESENCHYMAL_TRANSITION,GEM
XENOBIOTIC_METABOLISM,SERPINE1
COAGULATION,SERPINE1
HYPOXIA,SERPINE1
UV_RESPONSE_DN,SERPINE1
TNFA_SIGNALING_VIA_NFKB,SERPINE1
EPITHELIAL_MESENCHYMAL_TRANSITION,SERPINE1
TGF_BETA_SIGNALING,SERPINE1
INFLAMMATORY_RESPONSE,SERPINE1
COMPLEMENT,SERPINE1
HYPOXIA,PLAUR
TNFA_SIGNALING_VIA_NFKB,PLAUR
EPITHELIAL_MESENCHYMAL_TRANSITION,PLAUR
APICAL_SURFACE,PLAUR
CHOLESTEROL_HOMEOSTASIS,PLAUR
INFLAMMATORY_RESPONSE,PLAUR
KRAS_SIGNALING_UP,PLAUR
COMPLEMENT,PLAUR
ANDROGEN_RESPONSE,TNFAIP8
TNFA_SIGNALING_VIA_NFKB,TNFAIP8
G2M_CHECKPOINT,MARCKS
MITOTIC_SPINDLE,MARCKS
TNFA_SIGNALING_VIA_NFKB,MARCKS
TNFA_SIGNALING_VIA_NFKB,CXCL2
UV_RESPONSE_UP,CXCL2
TNFA_SIGNALING_VIA_NFKB,B4GALT5
MTORC1_SIGNALING,PPP1R15A
HYPOXIA,PPP1R15A
P53_PATHWAY,PPP1R15A
KRAS_SIGNALING_UP,PPP1R15A
TNFA_SIGNALING_VIA_NFKB,PPP1R15A
TGF_BETA_SIGNALING,PPP1R15A
TNFA_SIGNALING_VIA_NFKB,TRIP10
XENOBIOTIC_METABOLISM,NINJ1
P53_PATHWAY,NINJ1
TNFA_SIGNALING_VIA_NFKB,NINJ1
TNFA_SIGNALING_VIA_NFKB,EGR3
ESTROGEN_RESPONSE_LATE,EGR3
ESTROGEN_RESPONSE_EARLY,EGR3
APOPTOSIS,EGR3
TNFA_SIGNALING_VIA_NFKB,BIRC2
COAGULATION,OLR1
ANGIOGENESIS,OLR1
INFLAMMATORY_RESPONSE,OLR1
TNFA_SIGNALING_VIA_NFKB,OLR1
COMPLEMENT,OLR1
TNFA_SIGNALING_VIA_NFKB,PER1
ADIPOGENESIS,PFKFB3
HYPOXIA,PFKFB3
TNFA_SIGNALING_VIA_NFKB,PFKFB3
MTORC1_SIGNALING,CDKN1A
INTERFERON_GAMMA_RESPONSE,CDKN1A
MYOGENESIS,CDKN1A
P53_PATHWAY,CDKN1A
APOPTOSIS,CDKN1A
HYPOXIA,CDKN1A
E2F_TARGETS,CDKN1A
TNFA_SIGNALING_VIA_NFKB,CDKN1A
PI3K_AKT_MTOR_SIGNALING,CDKN1A
INFLAMMATORY_RESPONSE,CDKN1A
TNFA_SIGNALING_VIA_NFKB,SIK1
ANDROGEN_RESPONSE,SAT1
P53_PATHWAY,SAT1
TNFA_SIGNALING_VIA_NFKB,SAT1
EPITHELIAL_MESENCHYMAL_TRANSITION,SAT1
APOPTOSIS,SAT1
COAGULATION,PLEK
TNFA_SIGNALING_VIA_NFKB,PLEK
COMPLEMENT,PLEK
COAGULATION,SERPINB2
KRAS_SIGNALING_DN,SERPINB2
TNFA_SIGNALING_VIA_NFKB,SERPINB2
COMPLEMENT,SERPINB2
ESTROGEN_RESPONSE_EARLY,KLF10
TNFA_SIGNALING_VIA_NFKB,KLF10
TGF_BETA_SIGNALING,KLF10
P53_PATHWAY,PLK2
TNFA_SIGNALING_VIA_NFKB,PLK2
XENOBIOTIC_METABOLISM,GCH1
INTERFERON_GAMMA_RESPONSE,GCH1
TNFA_SIGNALING_VIA_NFKB,GCH1
INFLAMMATORY_RESPONSE,GCH1
UV_RESPONSE_UP,GCH1
APOPTOSIS,GCH1
COAGULATION,F3
HYPOXIA,F3
INFLAMMATORY_RESPONSE,F3
UV_RESPONSE_DN,F3
TNFA_SIGNALING_VIA_NFKB,F3
COMPLEMENT,F3
TNFA_SIGNALING_VIA_NFKB,KDM6B
P53_PATHWAY,IL1A
TNFA_SIGNALING_VIA_NFKB,IL1A
INFLAMMATORY_RESPONSE,IL1A
APOPTOSIS,IL1A
APICAL_JUNCTION,TRAF1
IL2_STAT5_SIGNALING,TRAF1
KRAS_SIGNALING_UP,TRAF1
TNFA_SIGNALING_VIA_NFKB,TRAF1
HYPOXIA,CCN1
UV_RESPONSE_DN,CCN1
TNFA_SIGNALING_VIA_NFKB,CCN1
EPITHELIAL_MESENCHYMAL_TRANSITION,CCN1
INTERFERON_GAMMA_RESPONSE,CD69
INFLAMMATORY_RESPONSE,CD69
TNFA_SIGNALING_VIA_NFKB,CD69
APOPTOSIS,CD69
TNFA_SIGNALING_VIA_NFKB,IER2
ESTROGEN_RESPONSE_LATE,BTG3
TNFA_SIGNALING_VIA_NFKB,BTG3
UV_RESPONSE_UP,BTG3
APOPTOSIS,BTG3
TNFA_SIGNALING_VIA_NFKB,DNAJB4
HYPOXIA,FOS
P53_PATHWAY,FOS
TNFA_SIGNALING_VIA_NFKB,FOS
ESTROGEN_RESPONSE_LATE,FOS
ESTROGEN_RESPONSE_EARLY,FOS
UV_RESPONSE_UP,FOS
INFLAMMATORY_RESPONSE,CCL20
KRAS_SIGNALING_UP,CCL20
TNFA_SIGNALING_VIA_NFKB,CCL20
TNFA_SIGNALING_VIA_NFKB,BIRC3
KRAS_SIGNALING_UP,BIRC3
APOPTOSIS,BIRC3
XENOBIOTIC_METABOLISM,ETS2
HEDGEHOG_SIGNALING,ETS2
TNFA_SIGNALING_VIA_NFKB,ETS2
INFLAMMATORY_RESPONSE,PTPRE
P53_PATHWAY,PTPRE
TNFA_SIGNALING_VIA_NFKB,PTPRE
KRAS_SIGNALING_DN,SNN
TNFA_SIGNALING_VIA_NFKB,SNN
HYPOXIA,ACKR3
TNFA_SIGNALING_VIA_NFKB,ACKR3
P53_PATHWAY,GADD45A
TNFA_SIGNALING_VIA_NFKB,GADD45A
EPITHELIAL_MESENCHYMAL_TRANSITION,GADD45A
ADIPOGENESIS,GADD45A
APOPTOSIS,GADD45A
TNFA_SIGNALING_VIA_NFKB,KLF9
INTERFERON_GAMMA_RESPONSE,SOD2
TNFA_SIGNALING_VIA_NFKB,SOD2
REACTIVE_OXYGEN_SPECIES_PATHWAY,SOD2
PEROXISOME,SOD2
UV_RESPONSE_UP,SOD2
APOPTOSIS,SOD2
ALLOGRAFT_REJECTION,CCL5
INTERFERON_GAMMA_RESPONSE,CCL5
TNFA_SIGNALING_VIA_NFKB,CCL5
INFLAMMATORY_RESPONSE,CCL5
COMPLEMENT,CCL5
TNFA_SIGNALING_VIA_NFKB,TGIF1
TGF_BETA_SIGNALING,TGIF1
TNFA_SIGNALING_VIA_NFKB,FOSL1
ALLOGRAFT_REJECTION,LIF
IL2_STAT5_SIGNALING,LIF
P53_PATHWAY,LIF
TNFA_SIGNALING_VIA_NFKB,LIF
INFLAMMATORY_RESPONSE,LIF
KRAS_SIGNALING_UP,LIF
TNFA_SIGNALING_VIA_NFKB,SLC16A6
TNFA_SIGNALING_VIA_NFKB,JUNB
TGF_BETA_SIGNALING,JUNB
REACTIVE_OXYGEN_SPECIES_PATHWAY,JUNB
UV_RESPONSE_UP,JUNB
ADIPOGENESIS,STAT5A
TNFA_SIGNALING_VIA_NFKB,STAT5A
MTORC1_SIGNALING,BHLHE40
IL2_STAT5_SIGNALING,BHLHE40
MYOGENESIS,BHLHE40
HYPOXIA,BHLHE40
UV_RESPONSE_DN,BHLHE40
TNFA_SIGNALING_VIA_NFKB,BHLHE40
ESTROGEN_RESPONSE_EARLY,BHLHE40
IL2_STAT5_SIGNALING,CD44
TNFA_SIGNALING_VIA_NFKB,CD44
EPITHELIAL_MESENCHYMAL_TRANSITION,CD44
IL6_JAK_STAT3_SIGNALING,CD44
ESTROGEN_RESPONSE_LATE,CD44
ESTROGEN_RESPONSE_EARLY,CD44
GLYCOLYSIS,CD44
APOPTOSIS,CD44
INTERFERON_GAMMA_RESPONSE,CXCL11
INTERFERON_ALPHA_RESPONSE,CXCL11
INFLAMMATORY_RESPONSE,CXCL11
TNFA_SIGNALING_VIA_NFKB,CXCL11
IL6_JAK_STAT3_SIGNALING,CXCL11
UNFOLDED_PROTEIN_RESPONSE,ATF3
HYPOXIA,ATF3
P53_PATHWAY,ATF3
TNFA_SIGNALING_VIA_NFKB,ATF3
CHOLESTEROL_HOMEOSTASIS,ATF3
UV_RESPONSE_UP,ATF3
APOPTOSIS,ATF3
MYOGENESIS,HBEGF
P53_PATHWAY,HBEGF
TNFA_SIGNALING_VIA_NFKB,HBEGF
INFLAMMATORY_RESPONSE,HBEGF
KRAS_SIGNALING_UP,HBEGF
ANDROGEN_RESPONSE,B4GALT1
APICAL_JUNCTION,B4GALT1
APICAL_SURFACE,B4GALT1
ESTROGEN_RESPONSE_EARLY,B4GALT1
TNFA_SIGNALING_VIA_NFKB,B4GALT1
GLYCOLYSIS,B4GALT1
IL2_STAT5_SIGNALING,CSF2
KRAS_SIGNALING_UP,CSF2
TNFA_SIGNALING_VIA_NFKB,CSF2
IL6_JAK_STAT3_SIGNALING,CSF2
P53_PATHWAY,RNF19B
TNFA_SIGNALING_VIA_NFKB,RNF19B
TNFA_SIGNALING_VIA_NFKB,SLC2A6
INTERFERON_GAMMA_RESPONSE,IFIT2
INTERFERON_ALPHA_RESPONSE,IFIT2
TNFA_SIGNALING_VIA_NFKB,IFIT2
MTORC1_SIGNALING,NAMPT
INTERFERON_GAMMA_RESPONSE,NAMPT
TNFA_SIGNALING_VIA_NFKB,NAMPT
INFLAMMATORY_RESPONSE,NAMPT
UV_RESPONSE_DN,ATP2B1
TNFA_SIGNALING_VIA_NFKB,ATP2B1
INFLAMMATORY_RESPONSE,ATP2B1
IL2_STAT5_SIGNALING,RHOB
TNFA_SIGNALING_VIA_NFKB,RHOB
UV_RESPONSE_UP,RHOB
EPITHELIAL_MESENCHYMAL_TRANSITION,RHOB
APOPTOSIS,RHOB
TNFA_SIGNALING_VIA_NFKB,RELA
INFLAMMATORY_RESPONSE,RELA
APOPTOSIS,RELA
APICAL_JUNCTION,LAMB3
TNFA_SIGNALING_VIA_NFKB,LAMB3
ALLOGRAFT_REJECTION,TAP1
INTERFERON_GAMMA_RESPONSE,TAP1
INTERFERON_ALPHA_RESPONSE,TAP1
P53_PATHWAY,TAP1
TNFA_SIGNALING_VIA_NFKB,TAP1
UV_RESPONSE_UP,TAP1
APOPTOSIS,TAP1
ANDROGEN_RESPONSE,CCND1
G2M_CHECKPOINT,CCND1
TNFA_SIGNALING_VIA_NFKB,CCND1
NOTCH_SIGNALING,CCND1
ESTROGEN_RESPONSE_LATE,CCND1
ESTROGEN_RESPONSE_EARLY,CCND1
APOPTOSIS,CCND1
TNFA_SIGNALING_VIA_NFKB,EHD1
COMPLEMENT,EHD1
TNFA_SIGNALING_VIA_NFKB,CEBPD
TNFA_SIGNALING_VIA_NFKB,CLCF1
INTERFERON_GAMMA_RESPONSE,BTG1
HYPOXIA,BTG1
P53_PATHWAY,BTG1
TNFA_SIGNALING_VIA_NFKB,BTG1
UV_RESPONSE_UP,BTG1
HYPOXIA,DUSP1
UV_RESPONSE_DN,DUSP1
TNFA_SIGNALING_VIA_NFKB,DUSP1
TNFA_SIGNALING_VIA_NFKB,SERPINB8
KRAS_SIGNALING_DN,EDN1
TNFA_SIGNALING_VIA_NFKB,EDN1
INFLAMMATORY_RESPONSE,EDN1
INTERFERON_GAMMA_RESPONSE,PTGS2
TNFA_SIGNALING_VIA_NFKB,PTGS2
KRAS_SIGNALING_UP,PTGS2
TNFA_SIGNALING_VIA_NFKB,RELB
INTERFERON_GAMMA_RESPONSE,SOCS3
TNFA_SIGNALING_VIA_NFKB,SOCS3
IL6_JAK_STAT3_SIGNALING,SOCS3
TNFA_SIGNALING_VIA_NFKB,IL7R
INFLAMMATORY_RESPONSE,IL7R
KRAS_SIGNALING_UP,IL7R
TNFA_SIGNALING_VIA_NFKB,MCL1
APOPTOSIS,MCL1
CHOLESTEROL_HOMEOSTASIS,PNRC1
HYPOXIA,PNRC1
TNFA_SIGNALING_VIA_NFKB,PNRC1
TNFA_SIGNALING_VIA_NFKB,ZC3H12A
TNFA_SIGNALING_VIA_NFKB,NFKBIE
ADIPOGENESIS,TANK
TNFA_SIGNALING_VIA_NFKB,TANK
TNFA_SIGNALING_VIA_NFKB,NFAT5
P53_PATHWAY,DRAM1
TNFA_SIGNALING_VIA_NFKB,DRAM1
TNFA_SIGNALING_VIA_NFKB,TNIP2
ALLOGRAFT_REJECTION,TLR2
TNFA_SIGNALING_VIA_NFKB,TLR2
IL6_JAK_STAT3_SIGNALING,TLR2
INFLAMMATORY_RESPONSE,TLR2
TNFA_SIGNALING_VIA_NFKB,F2RL1
KRAS_SIGNALING_UP,F2RL1
INTERFERON_GAMMA_RESPONSE,IFIH1
INTERFERON_ALPHA_RESPONSE,IFIH1
TNFA_SIGNALING_VIA_NFKB,IFIH1
TNFA_SIGNALING_VIA_NFKB,IL6ST
IL6_JAK_STAT3_SIGNALING,IL6ST
ESTROGEN_RESPONSE_LATE,IL6ST
ESTROGEN_RESPONSE_EARLY,IL6ST
UV_RESPONSE_UP,IL6ST
ANDROGEN_RESPONSE,TSC22D1
P53_PATHWAY,TSC22D1
TNFA_SIGNALING_VIA_NFKB,TSC22D1
TNFA_SIGNALING_VIA_NFKB,MSC
INTERFERON_GAMMA_RESPONSE,RIGI
TNFA_SIGNALING_VIA_NFKB,RIGI
HYPOXIA,EFNA1
TNFA_SIGNALING_VIA_NFKB,EFNA1
MTORC1_SIGNALING,NFIL3
CHOLESTEROL_HOMEOSTASIS,NFIL3
IL2_STAT5_SIGNALING,NFIL3
HYPOXIA,NFIL3
TNFA_SIGNALING_VIA_NFKB,NFIL3
ANDROGEN_RESPONSE,SGK1
KRAS_SIGNALING_DN,SGK1
TNFA_SIGNALING_VIA_NFKB,SGK1
ESTROGEN_RESPONSE_LATE,SGK1
ANDROGEN_RESPONSE,ZBTB10
TNFA_SIGNALING_VIA_NFKB,ZBTB10
INFLAMMATORY_RESPONSE,CCRL2
TNFA_SIGNALING_VIA_NFKB,CCRL2
INTERFERON_ALPHA_RESPONSE,CCRL2
INTERFERON_GAMMA_RESPONSE,IL15RA
INFLAMMATORY_RESPONSE,IL15RA
TNFA_SIGNALING_VIA_NFKB,IL15RA
IL6_JAK_STAT3_SIGNALING,IL15RA
ALLOGRAFT_REJECTION,IL1B
TNFA_SIGNALING_VIA_NFKB,IL1B
IL6_JAK_STAT3_SIGNALING,IL1B
INFLAMMATORY_RESPONSE,IL1B
KRAS_SIGNALING_UP,IL1B
APOPTOSIS,IL1B
G2M_CHECKPOINT,SMAD3
UV_RESPONSE_DN,SMAD3
TNFA_SIGNALING_VIA_NFKB,SMAD3
TGF_BETA_SIGNALING,SMAD3
HYPOXIA,FOSL2
TNFA_SIGNALING_VIA_NFKB,FOSL2
TNFA_SIGNALING_VIA_NFKB,TRIB1
KRAS_SIGNALING_UP,TRIB1
