iteration,n_genes,cv_acc,mean_shap,std_shap,dropped,top20
54,334,0.901001630561379,0.023336565122008324,0.059110723435878754,"['KYNU', 'LIMK2', 'LINC00665', 'LINC02381', 'LMO4']","['CCNB1', 'PLOD2', 'MELTF', 'BMP7', 'CDK6', 'CD99', 'TMPRSS2', 'CXCL14', 'ATP13A4', 'PRRX2', 'MALL', 'RPA1', 'MARCO', 'RASGRF1', 'LBR', 'NIBAN1', 'SCUBE2', 'CFTR', 'UBE2T', 'ADH1B']"
55,329,0.8823666433729326,0.02376468852162361,0.05904358625411987,"['LPIN2', 'LPL', 'LRRK2', 'LRRN4', 'MAB21L4']","['MELTF', 'CCNB1', 'CDK6', 'PLOD2', 'BMP7', 'NIBAN1', 'CD99', 'PRRX2', 'SCUBE2', 'TMPRSS2', 'ATP13A4', 'CFTR', 'GGTLC1', 'CXCL14', 'CPM', 'RPA1', 'RASGRF1', 'MARCO', 'C16orf89', 'ANLN']"
56,324,0.8823666433729326,0.024011237546801567,0.060564346611499786,"['LDHB', 'LMO3', 'MACC1', 'MAN1A1', 'MANSC1']","['MELTF', 'CCNB1', 'PLOD2', 'CD99', 'TMPRSS2', 'ATP13A4', 'BMP7', 'MALL', 'CXCL14', 'PRRX2', 'RPA1', 'RASGRF1', 'GGTLC1', 'SCUBE2', 'CDK6', 'MARCO', 'CPM', 'LBR', 'NIBAN1', 'UCK2']"
57,319,0.9071744700675518,0.02444513328373432,0.06129429116845131,"['LYPD3', 'MAD2L1', 'MAP2K6', 'MARK1', 'MBIP']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'CD99', 'SCUBE2', 'RPA1', 'RASGRF1', 'PRRX2', 'MARCO', 'CXCL14', 'TMPRSS2', 'ATP13A4', 'CDK6', 'SC5D', 'GGTLC1', 'MALL', 'UCK2', 'TMEM125', 'UBE2T']"
58,314,0.8824831120428605,0.024934735149145126,0.061531513929367065,"['KITLG', 'LGI2', 'MAPK10', 'MCM2', 'MCTP1']","['MELTF', 'CCNB1', 'PLOD2', 'BMP7', 'CD99', 'TMPRSS2', 'NIBAN1', 'MALL', 'RASGRF1', 'SCUBE2', 'CXCL14', 'RPA1', 'PRRX2', 'LBR', 'CDK6', 'CPM', 'MARCO', 'ATP13A4', 'UCK2', 'LFNG']"
59,309,0.9071744700675518,0.02514195255935192,0.062022220343351364,"['IFI16', 'ITFG1', 'MACROH2A2', 'MECOM', 'MEGF9']","['MELTF', 'CCNB1', 'PLOD2', 'TMPRSS2', 'BMP7', 'CXCL14', 'CD99', 'RPA1', 'RASGRF1', 'CDK6', 'GGTLC1', 'ATP13A4', 'UCK2', 'SCUBE2', 'NIBAN1', 'MALL', 'SC5D', 'PRRX2', 'TMEM125', 'CPM']"
60,304,0.8885394828791057,0.025566598400473595,0.06044371426105499,"['MELK', 'MET', 'MEX3A', 'MIR4458HG', 'MMP14']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'SCUBE2', 'ATP13A4', 'CD99', 'CDK6', 'GGTLC1', 'TMPRSS2', 'RASGRF1', 'CXCL14', 'MARCO', 'PRRX2', 'CPM', 'ADH1B', 'RPA1', 'MALL', 'SC5D', 'UCK2']"
61,299,0.8947123223852783,0.02597612887620926,0.0631365180015564,"['MDFIC', 'MIR100HG', 'MMP24OS', 'MTAP', 'MTARC1']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'CD99', 'CDK6', 'CXCL14', 'SCUBE2', 'TMPRSS2', 'ATP13A4', 'RASGRF1', 'MARCO', 'RPA1', 'ANLN', 'CPM', 'PRRX2', 'GGTLC1', 'CFTR', 'MALL', 'UCK2']"
62,294,0.8823666433729326,0.026533691212534904,0.06251062452793121,"['MTSS1', 'MUC1', 'MX1', 'NAPSA', 'NDN']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'TMPRSS2', 'CDK6', 'CD99', 'CXCL14', 'MALL', 'ATP13A4', 'SCUBE2', 'MARCO', 'NIBAN1', 'GGTLC1', 'ADH1B', 'CPM', 'RASGRF1', 'RPA1', 'PRRX2', 'CFTR']"
63,289,0.9194036804099698,0.027099262923002243,0.06522749364376068,"['MSLN', 'NEFH', 'NFIX', 'NMNAT2', 'NPC2']","['CCNB1', 'MELTF', 'PLOD2', 'CD99', 'CDK6', 'BMP7', 'ATP13A4', 'RASGRF1', 'CXCL14', 'RPA1', 'MARCO', 'TMPRSS2', 'SCUBE2', 'GGTLC1', 'PRRX2', 'CFTR', 'NIBAN1', 'ADH1B', 'MALL', 'ANLN']"
64,284,0.8885394828791057,0.027523566037416458,0.0648728534579277,"['FIBCD1', 'MTMR11', 'NEXMIF', 'NINJ2', 'OCLN']","['MELTF', 'CCNB1', 'PLOD2', 'BMP7', 'CD99', 'GGTLC1', 'RPA1', 'MALL', 'CDK6', 'SCUBE2', 'ATP13A4', 'CPM', 'TMPRSS2', 'NIBAN1', 'RASGRF1', 'MARCO', 'PRRX2', 'UCK2', 'SC5D', 'LBR']"
65,279,0.9071744700675518,0.028189847245812416,0.06373633444309235,"['MYBPHL', 'NPTX1', 'NR0B2', 'ORM1', 'ORM2']","['CCNB1', 'MELTF', 'PLOD2', 'CD99', 'BMP7', 'TMPRSS2', 'MALL', 'NIBAN1', 'PRRX2', 'CDK6', 'SCUBE2', 'ATP13A4', 'GGTLC1', 'RASGRF1', 'RPA1', 'UCK2', 'CXCL14', 'UBE2T', 'SC5D', 'CPM']"
66,274,0.907058001397624,0.02821464091539383,0.06815735250711441,"['MUC3A', 'NDNF', 'NFE2L3', 'P2RY6', 'PAG1']","['MELTF', 'CCNB1', 'CD99', 'PLOD2', 'SCUBE2', 'MALL', 'TMPRSS2', 'BMP7', 'CXCL14', 'RASGRF1', 'ATP13A4', 'MARCO', 'CDK6', 'ADH1B', 'MX2', 'CYP4F11', 'SC5D', 'RPA1', 'LBR', 'CFTR']"
67,269,0.901001630561379,0.028994310647249222,0.07029523700475693,"['NAALADL2', 'OTULIN', 'PAK3', 'PARM1', 'PBX1']","['CCNB1', 'MELTF', 'PLOD2', 'TMPRSS2', 'CD99', 'SCUBE2', 'BMP7', 'RASGRF1', 'CXCL14', 'CDK6', 'ATP13A4', 'CYP4F11', 'MARCO', 'GGTLC1', 'RPA1', 'ANLN', 'UCK2', 'LBR', 'PRRX2', 'SC5D']"
68,264,0.9008851618914511,0.029683396220207214,0.06821799278259277,"['MS4A15', 'P3H2', 'PCDH7', 'PCDHB5', 'PDE10A']","['CCNB1', 'MELTF', 'PLOD2', 'CD99', 'CXCL14', 'TMPRSS2', 'ATP13A4', 'BMP7', 'CDK6', 'SCUBE2', 'PRRX2', 'NIBAN1', 'MARCO', 'LBR', 'RPA1', 'MALL', 'GGTLC1', 'RASGRF1', 'LFNG', 'CYP4F11']"
69,259,0.9133473095737247,0.030216066166758537,0.0674305111169815,"['PCSK2', 'PDGFC', 'PDPN', 'PELI2', 'PHACTR3']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'MARCO', 'CD99', 'ATP13A4', 'RPA1', 'CXCL14', 'TMPRSS2', 'UBE2T', 'RASGRF1', 'CDK6', 'SCUBE2', 'CCND3', 'MALL', 'UCK2', 'NIBAN1', 'SC5D', 'CPM']"
70,254,0.9071744700675518,0.030834073200821877,0.07220488041639328,"['NOVA1', 'PAPSS2', 'PDZK1IP1', 'PEBP4', 'PFKP']","['CCNB1', 'MELTF', 'PLOD2', 'CD99', 'BMP7', 'SCUBE2', 'CXCL14', 'NIBAN1', 'ATP13A4', 'RASGRF1', 'TMPRSS2', 'CDK6', 'MARCO', 'UBE2T', 'ANLN', 'MALL', 'LBR', 'SC5D', 'ADH1B', 'CYP4F11']"
