iteration,n_genes,cv_acc,mean_shap,std_shap,dropped,top20
14,534,0.8761938038667599,0.01485513150691986,0.04416399821639061,"['ASCL2', 'C16orf87', 'C3', 'C4BPB', 'C5']","['CCNB1', 'MELTF', 'PLOD2', 'PRRX2', 'CD99', 'CXCL14', 'MALL', 'ATP13A4', 'CDK6', 'MARCO', 'BMP7', 'GGTLC1', 'TMPRSS2', 'RASGRF1', 'UCK2', 'NIBAN1', 'UBE2T', 'SCUBE2', 'ADH1C', 'CFTR']"
15,529,0.863964593524342,0.01474420540034771,0.046743590384721756,"['CA12', 'CA2', 'CACNA2D2', 'CADM1', 'CAPN13']","['MELTF', 'CCNB1', 'PLOD2', 'BMP7', 'CD99', 'ATP13A4', 'CXCL14', 'MALL', 'SCUBE2', 'NIBAN1', 'CDK6', 'TMPRSS2', 'PRRX2', 'ADH1B', 'LBR', 'GGTLC1', 'RPA1', 'RASGRF1', 'MARCO', 'CPM']"
16,524,0.8885394828791057,0.014843808487057686,0.04693686217069626,"['BASP1', 'C1orf116', 'C4BPA', 'C6orf141', 'CAMK2N1']","['MELTF', 'CCNB1', 'PLOD2', 'SCUBE2', 'CDK6', 'NIBAN1', 'TMPRSS2', 'CD99', 'CXCL14', 'BMP7', 'MALL', 'MARCO', 'ATP13A4', 'RASGRF1', 'MX2', 'ANLN', 'LBR', 'PRRX2', 'UBE2T', 'ADH1B']"
17,519,0.8886559515490333,0.014946752227842808,0.05031129717826843,"['CAV1', 'CAV2', 'CBLC', 'CCNJL', 'CD109']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'TMPRSS2', 'CDK6', 'CD99', 'RASGRF1', 'SCUBE2', 'CXCL14', 'RPA1', 'LBR', 'CPM', 'NIBAN1', 'ATP13A4', 'GGTLC1', 'CFTR', 'MARCO', 'ADH1B', 'MALL']"
18,514,0.8885394828791057,0.015250868164002895,0.05054853484034538,"['AARS1', 'CCM2', 'CD302', 'CD99L2', 'CDC42EP3']","['CCNB1', 'MELTF', 'BMP7', 'PLOD2', 'TMPRSS2', 'CD99', 'ATP13A4', 'CXCL14', 'MARCO', 'CDK6', 'SCUBE2', 'GGTLC1', 'NIBAN1', 'RASGRF1', 'CPM', 'MALL', 'UCK2', 'CFTR', 'ADH1B', 'RPA1']"
19,509,0.8885394828791057,0.015317405574023724,0.04933129623532295,"['CDA', 'CDC42EP5', 'CDK1', 'CDKN2A', 'CEACAM1']","['CCNB1', 'MELTF', 'PLOD2', 'CD99', 'CDK6', 'CXCL14', 'BMP7', 'TMPRSS2', 'GGTLC1', 'CFTR', 'RPA1', 'LBR', 'PRRX2', 'MARCO', 'ATP13A4', 'RASGRF1', 'UCK2', 'SCUBE2', 'SC5D', 'MALL']"
20,504,0.8947123223852783,0.015563036315143108,0.05145954340696335,"['CEACAM6', 'CEBPG', 'CELF2', 'CENPF', 'CERS4']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'TMPRSS2', 'CD99', 'CDK6', 'RASGRF1', 'CXCL14', 'CFTR', 'GGTLC1', 'RPA1', 'MALL', 'MARCO', 'SCUBE2', 'CPM', 'ATP13A4', 'NIBAN1', 'ADH1B', 'SC5D']"
21,499,0.9071744700675518,0.01579648070037365,0.049925483763217926,"['CDKL2', 'CES1', 'CES3', 'CFAP221', 'CHL1']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'SCUBE2', 'MARCO', 'CD99', 'NIBAN1', 'CDK6', 'TMPRSS2', 'MALL', 'RASGRF1', 'PRRX2', 'ATP13A4', 'CXCL14', 'ADH1B', 'TMEM125', 'CPM', 'RPA1', 'LBR']"
22,494,0.901001630561379,0.015827706083655357,0.05065503716468811,"['CLDN18', 'CLIC3', 'CLIC5', 'CLU', 'CMBL']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'TMPRSS2', 'SCUBE2', 'RPA1', 'CXCL14', 'CD99', 'MARCO', 'CPM', 'CDK6', 'ANLN', 'NIBAN1', 'GGTLC1', 'ATP13A4', 'MALL', 'RASGRF1', 'LBR', 'CFTR']"
23,489,0.8885394828791057,0.016132283955812454,0.049279674887657166,"['CHML', 'CKB', 'CLDN9', 'COL12A1', 'COL17A1']","['MELTF', 'CCNB1', 'PLOD2', 'MALL', 'CD99', 'BMP7', 'CXCL14', 'TMPRSS2', 'CDK6', 'SCUBE2', 'RPA1', 'ATP13A4', 'CFTR', 'CPM', 'UCK2', 'PRRX2', 'NIBAN1', 'RASGRF1', 'MX2', 'LBR']"
